FILE_NAME|INFOBIP_FILE_COUNT|CDR_LOAD_DATE|DB_FILE_COUNT|DIFFERENCES
15102024_6119|4738|2024-10-15 00:43:01|4738|0
15102024_6124|444|2024-10-15 00:49:02|444|0
15102024_6128|7815|2024-10-15 00:59:01|7815|0
15102024_6130|9293|2024-10-15 01:08:01|9293|0
15102024_6133|12427|2024-10-15 01:18:01|12427|0
15102024_6134|6835|2024-10-15 01:27:01|6835|0
15102024_6136|10142|2024-10-15 01:37:02|10142|0
15102024_6139|6628|2024-10-15 01:47:01|6628|0
15102024_6140|6512|2024-10-15 01:56:01|6512|0
15102024_6143|5778|2024-10-15 02:07:01|5778|0
15102024_6145|9657|2024-10-15 02:18:01|9657|0
15102024_6147|4252|2024-10-15 02:28:01|4252|0
15102024_6149|2180|2024-10-15 02:37:02|2180|0
15102024_6152|1872|2024-10-15 02:48:01|1872|0
15102024_6154|282|2024-10-15 03:01:01|282|0
15102024_6156|3311|2024-10-15 03:12:01|3311|0
15102024_6158|2986|2024-10-15 03:23:01|2986|0
15102024_6160|4878|2024-10-15 03:32:02|4878|0
15102024_6161|2404|2024-10-15 03:40:01|2404|0
15102024_6166|3274|2024-10-15 04:01:01|3274|0
15102024_6168|3514|2024-10-15 04:10:01|3514|0
15102024_6170|3722|2024-10-15 04:20:02|3722|0
15102024_6172|3440|2024-10-15 04:29:02|3440|0
15102024_6173|3909|2024-10-15 04:39:02|3909|0
15102024_6176|1698|2024-10-15 04:49:01|1698|0
15102024_6178|76|2024-10-15 04:59:01|76|0
15102024_6180|3208|2024-10-15 05:08:01|3208|0
15102024_6182|3449|2024-10-15 05:18:01|3449|0
15102024_6184|1815|2024-10-15 05:24:01|1815|0
15102024_6186|3782|2024-10-15 05:34:01|3782|0
15102024_6188|1183|2024-10-15 05:43:01|1183|0
15102024_6190|2651|2024-10-15 05:53:01|2651|0
15102024_6192|7344|2024-10-15 06:02:02|7344|0
15102024_6194|5280|2024-10-15 06:12:01|5280|0
15102024_6195|4761|2024-10-15 06:22:01|4761|0
15102024_6197|4892|2024-10-15 06:31:01|4892|0
15102024_6199|8274|2024-10-15 06:41:01|8274|0
15102024_6201|13286|2024-10-15 06:51:02|13286|0
15102024_6203|6710|2024-10-15 07:01:01|6710|0
15102024_6205|7029|2024-10-15 07:10:01|7029|0
15102024_6207|8319|2024-10-15 07:20:02|8319|0
15102024_6209|7547|2024-10-15 07:29:02|7547|0
